journal_title,publisher,year,yearly_jn_volume,license,license_ref_n,yearly_publisher_volume
European Journal of Human Genetics,Springer Nature,2017,219,http://creativecommons.org/licenses/sa/4.0,3,175964
European Journal of Human Genetics,Springer Nature,2016,210,http://creativecommons.org/licenses/by-nc-sa/4.0,2,173019
European Journal of Human Genetics,Springer Nature,2016,210,http://creativecommons.org/licenses/by/4.0,2,173019
European Journal of Human Genetics,Springer Nature,2018,132,http://creativecommons.org/licenses/by-nc-nd/4.0,4,77031
European Journal of Human Genetics,Springer Nature,2018,132,http://creativecommons.org/licenses/by-nc-sa/4.0,2,77031
European Journal of Human Genetics,Springer Nature,2018,132,http://creativecommons.org/licenses/by/4.0,15,77031
The Lancet,Elsevier BV,2013,2324,http://creativecommons.org/licenses/by-nc-nd/3.0,7,332602
The Lancet,Elsevier BV,2013,2324,http://creativecommons.org/licenses/by-nc-sa/3.0,2,332602
The Lancet,Elsevier BV,2013,2324,http://creativecommons.org/licenses/by/3.0,3,332602
The Lancet,Elsevier BV,2015,2224,http://creativecommons.org/licenses/by-nc-nd/3.0,1,357226
The Lancet,Elsevier BV,2015,2224,http://creativecommons.org/licenses/by-nc-nd/4.0,12,357226
The Lancet,Elsevier BV,2015,2224,http://creativecommons.org/licenses/by/3.0,7,357226
The Lancet,Elsevier BV,2015,2224,http://creativecommons.org/licenses/by/4.0,28,357226
The Lancet,Elsevier BV,2016,2192,http://creativecommons.org/licenses/by-nc-nd/4.0,14,375061
The Lancet,Elsevier BV,2016,2192,http://creativecommons.org/licenses/by/4.0,60,375061
The Lancet,Elsevier BV,2017,2090,http://creativecommons.org/licenses/by-nc-nd/3.0/igo,2,390927
The Lancet,Elsevier BV,2017,2090,http://creativecommons.org/licenses/by-nc-nd/4.0,27,390927
The Lancet,Elsevier BV,2017,2090,http://creativecommons.org/licenses/by/4.0,64,390927
The Lancet,Elsevier BV,2014,2085,http://creativecommons.org/licenses/by-nc-nd/3.0,12,343804
The Lancet,Elsevier BV,2014,2085,http://creativecommons.org/licenses/by-nc-sa/3.0,5,343804
The Lancet,Elsevier BV,2014,2085,http://creativecommons.org/licenses/by/3.0,26,343804
The Lancet,Elsevier BV,2018,803,http://creativecommons.org/licenses/by-nc-nd/4.0,13,247544
The Lancet,Elsevier BV,2018,803,http://creativecommons.org/licenses/by/3.0/igo,1,247544
The Lancet,Elsevier BV,2018,803,http://creativecommons.org/licenses/by/4.0,25,247544
The Lancet Respiratory Medicine,Elsevier BV,2015,338,http://creativecommons.org/licenses/by-nc-nd/4.0,2,357226
The Lancet Respiratory Medicine,Elsevier BV,2015,338,http://creativecommons.org/licenses/by-nc-sa/4.0,3,357226
The Lancet Respiratory Medicine,Elsevier BV,2015,338,http://creativecommons.org/licenses/by/3.0,3,357226
The Lancet Respiratory Medicine,Elsevier BV,2015,338,http://creativecommons.org/licenses/by/4.0,5,357226
The Lancet Respiratory Medicine,Elsevier BV,2016,329,http://creativecommons.org/licenses/by-nc-nd/4.0,3,375061
The Lancet Respiratory Medicine,Elsevier BV,2016,329,http://creativecommons.org/licenses/by/4.0,7,375061
The Lancet Respiratory Medicine,Elsevier BV,2017,296,http://creativecommons.org/licenses/by-nc-nd/4.0,1,390927
The Lancet Respiratory Medicine,Elsevier BV,2017,296,http://creativecommons.org/licenses/by/4.0,7,390927
The Lancet Respiratory Medicine,Elsevier BV,2014,289,http://creativecommons.org/licenses/by-nc-nd/3.0,1,343804
The Lancet Respiratory Medicine,Elsevier BV,2014,289,http://creativecommons.org/licenses/by-nc-sa/4.0,1,343804
The Lancet Respiratory Medicine,Elsevier BV,2014,289,http://creativecommons.org/licenses/by/3.0,8,343804
The Lancet Respiratory Medicine,Elsevier BV,2014,289,http://creativecommons.org/licenses/by/4.0,8,343804
The Lancet Respiratory Medicine,Elsevier BV,2013,244,http://creativecommons.org/licenses/by-nc-nd/4.0,2,332602
The Lancet Respiratory Medicine,Elsevier BV,2013,244,http://creativecommons.org/licenses/by-nc-sa/3.0,1,332602
The Lancet Respiratory Medicine,Elsevier BV,2013,244,http://creativecommons.org/licenses/by/3.0,1,332602
The Lancet Respiratory Medicine,Elsevier BV,2018,167,http://creativecommons.org/licenses/by-nc-nd/4.0,2,247544
The Lancet Respiratory Medicine,Elsevier BV,2018,167,http://creativecommons.org/licenses/by/4.0,4,247544
The Lancet Diabetes & Endocrinology,Elsevier BV,2016,328,http://creativecommons.org/licenses/by-nc-nd/4.0,2,375061
The Lancet Diabetes & Endocrinology,Elsevier BV,2016,328,http://creativecommons.org/licenses/by/4.0,13,375061
The Lancet Diabetes & Endocrinology,Elsevier BV,2015,277,http://creativecommons.org/licenses/by-nc-nd/3.0,7,357226
The Lancet Diabetes & Endocrinology,Elsevier BV,2015,277,http://creativecommons.org/licenses/by-nc-nd/4.0,1,357226
The Lancet Diabetes & Endocrinology,Elsevier BV,2015,277,http://creativecommons.org/licenses/by-nc-sa/4.0,1,357226
The Lancet Diabetes & Endocrinology,Elsevier BV,2015,277,http://creativecommons.org/licenses/by/3.0,5,357226
The Lancet Diabetes & Endocrinology,Elsevier BV,2015,277,http://creativecommons.org/licenses/by/4.0,5,357226
The Lancet Diabetes & Endocrinology,Elsevier BV,2014,273,http://creativecommons.org/licenses/by-nc-nd/3.0,1,343804
The Lancet Diabetes & Endocrinology,Elsevier BV,2014,273,http://creativecommons.org/licenses/by-nc-nd/4.0,1,343804
The Lancet Diabetes & Endocrinology,Elsevier BV,2014,273,http://creativecommons.org/licenses/by/3.0,5,343804
The Lancet Diabetes & Endocrinology,Elsevier BV,2014,273,http://creativecommons.org/licenses/by/4.0,1,343804
The Lancet Diabetes & Endocrinology,Elsevier BV,2017,256,http://creativecommons.org/licenses/by-nc-nd/4.0,3,390927
The Lancet Diabetes & Endocrinology,Elsevier BV,2017,256,http://creativecommons.org/licenses/by/4.0,9,390927
The Lancet Diabetes & Endocrinology,Elsevier BV,2018,141,http://creativecommons.org/licenses/by-nc-nd/4.0,1,247544
The Lancet Diabetes & Endocrinology,Elsevier BV,2018,141,http://creativecommons.org/licenses/by/4.0,14,247544
The Lancet Diabetes & Endocrinology,Elsevier BV,2013,115,http://creativecommons.org/licenses/by-nc-nd/4.0,2,332602
Journal of Consulting and Clinical Psychology,American Psychological Association (APA),2017,144,http://creativecommons.org/licenses/by/3.0,1,2376
Journal of Consulting and Clinical Psychology,American Psychological Association (APA),2014,132,http://creativecommons.org/licenses/by/3.0,1,2326
Journal of Consulting and Clinical Psychology,American Psychological Association (APA),2016,126,NA,NA,2371
Journal of Consulting and Clinical Psychology,American Psychological Association (APA),2015,120,http://creativecommons.org/licenses/by/3.0,3,2196
Journal of Consulting and Clinical Psychology,American Psychological Association (APA),2013,113,NA,NA,2129
Journal of Consulting and Clinical Psychology,American Psychological Association (APA),2018,58,NA,NA,1327
Cell Host & Microbe,Elsevier BV,2016,211,http://creativecommons.org/licenses/by-nc-nd/4.0,2,375061
Cell Host & Microbe,Elsevier BV,2016,211,http://creativecommons.org/licenses/by/4.0,8,375061
Cell Host & Microbe,Elsevier BV,2017,204,http://creativecommons.org/licenses/by-nc-nd/4.0,1,390927
Cell Host & Microbe,Elsevier BV,2017,204,http://creativecommons.org/licenses/by/4.0,10,390927
Cell Host & Microbe,Elsevier BV,2015,202,http://creativecommons.org/licenses/by-nc-nd/4.0,2,357226
Cell Host & Microbe,Elsevier BV,2015,202,http://creativecommons.org/licenses/by/3.0,2,357226
Cell Host & Microbe,Elsevier BV,2015,202,http://creativecommons.org/licenses/by/4.0,10,357226
Cell Host & Microbe,Elsevier BV,2014,185,http://creativecommons.org/licenses/by-nc-nd/3.0,2,343804
Cell Host & Microbe,Elsevier BV,2014,185,http://creativecommons.org/licenses/by/3.0,8,343804
Cell Host & Microbe,Elsevier BV,2013,167,NA,NA,332602
Cell Host & Microbe,Elsevier BV,2018,87,http://creativecommons.org/licenses/by-nc-nd/4.0,1,247544
Cell Host & Microbe,Elsevier BV,2018,87,http://creativecommons.org/licenses/by/4.0,4,247544
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2013,448,NA,NA,34651
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2014,440,NA,NA,35861
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2016,431,NA,NA,41935
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2015,405,NA,NA,38466
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2017,372,NA,NA,47306
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2018,205,http://creativecommons.org/licenses/by-nc/4.0,1,20883
The American Journal of Clinical Nutrition,Oxford University Press (OUP),2018,205,http://creativecommons.org/licenses/by/4.0,1,20883
Chemistry & Biology,Elsevier BV,2014,207,http://creativecommons.org/licenses/by-nc-nd/3.0,1,343804
Chemistry & Biology,Elsevier BV,2014,207,http://creativecommons.org/licenses/by/3.0,6,343804
Chemistry & Biology,Elsevier BV,2015,204,http://creativecommons.org/licenses/by-nc-nd/3.0,1,357226
Chemistry & Biology,Elsevier BV,2015,204,http://creativecommons.org/licenses/by/4.0,10,357226
Chemistry & Biology,Elsevier BV,2013,190,http://creativecommons.org/licenses/by-nc-nd/4.0,1,332602
Chemistry & Biology,Elsevier BV,2013,190,http://creativecommons.org/licenses/by/3.0,2,332602
Chemistry & Biology,Elsevier BV,2013,190,http://creativecommons.org/licenses/by/4.0,1,332602
Journal of Autoimmunity,Elsevier BV,2016,136,http://creativecommons.org/licenses/by-nc-nd/4.0,8,375061
Journal of Autoimmunity,Elsevier BV,2016,136,http://creativecommons.org/licenses/by/4.0,4,375061
Journal of Autoimmunity,Elsevier BV,2017,124,http://creativecommons.org/licenses/by-nc-nd/4.0,9,390927
Journal of Autoimmunity,Elsevier BV,2017,124,http://creativecommons.org/licenses/by/4.0,5,390927
Journal of Autoimmunity,Elsevier BV,2014,118,http://creativecommons.org/licenses/by-nc-nd/3.0,3,343804
Journal of Autoimmunity,Elsevier BV,2014,118,http://creativecommons.org/licenses/by-nc-sa/3.0,1,343804
Journal of Autoimmunity,Elsevier BV,2014,118,http://creativecommons.org/licenses/by/3.0,2,343804
Journal of Autoimmunity,Elsevier BV,2015,116,http://creativecommons.org/licenses/by/3.0,1,357226
Journal of Autoimmunity,Elsevier BV,2015,116,http://creativecommons.org/licenses/by/4.0,5,357226
Journal of Autoimmunity,Elsevier BV,2013,110,http://creativecommons.org/licenses/by-nc-nd/3.0,1,332602
Journal of Autoimmunity,Elsevier BV,2013,110,http://creativecommons.org/licenses/by-nc-nd/4.0,1,332602
Journal of Autoimmunity,Elsevier BV,2013,110,http://creativecommons.org/licenses/by/3.0,1,332602
Journal of Autoimmunity,Elsevier BV,2018,81,http://creativecommons.org/licenses/by-nc-nd/4.0,10,247544
Journal of Autoimmunity,Elsevier BV,2018,81,http://creativecommons.org/licenses/by/4.0,4,247544
Movement Disorders,Wiley,2013,507,NA,NA,99550
Movement Disorders,Wiley,2016,399,http://creativecommons.org/licenses/by/3.0,1,108415
Movement Disorders,Wiley,2016,399,http://creativecommons.org/licenses/by/4.0,8,108415
Movement Disorders,Wiley,2017,373,http://creativecommons.org/licenses/by-nc-nd/4.0,1,110730
Movement Disorders,Wiley,2017,373,http://creativecommons.org/licenses/by-nc/4.0,1,110730
Movement Disorders,Wiley,2017,373,http://creativecommons.org/licenses/by/4.0,20,110730
Movement Disorders,Wiley,2015,337,NA,NA,104299
Movement Disorders,Wiley,2014,331,NA,NA,102177
Movement Disorders,Wiley,2018,146,http://creativecommons.org/licenses/by-nc-nd/4.0,4,49018
Movement Disorders,Wiley,2018,146,http://creativecommons.org/licenses/by/4.0,10,49018
Historical Research,Wiley,2017,48,http://creativecommons.org/licenses/by-nc-nd/4.0,1,110730
Historical Research,Wiley,2017,48,http://creativecommons.org/licenses/by/4.0,2,110730
Historical Research,Wiley,2013,45,NA,NA,99550
Historical Research,Wiley,2014,44,NA,NA,102177
Historical Research,Wiley,2016,37,NA,NA,108415
Historical Research,Wiley,2015,32,NA,NA,104299
Historical Research,Wiley,2018,17,http://creativecommons.org/licenses/by/4.0,1,49018
Journal of Anatomy,Wiley,2017,163,http://creativecommons.org/licenses/by-nc-nd/4.0,3,110730
Journal of Anatomy,Wiley,2017,163,http://creativecommons.org/licenses/by-nc/4.0,1,110730
Journal of Anatomy,Wiley,2017,163,http://creativecommons.org/licenses/by/4.0,14,110730
Journal of Anatomy,Wiley,2015,157,http://creativecommons.org/licenses/by/4.0,2,104299
Journal of Anatomy,Wiley,2016,152,http://creativecommons.org/licenses/by-nc-nd/4.0,2,108415
Journal of Anatomy,Wiley,2016,152,http://creativecommons.org/licenses/by/4.0,2,108415
Journal of Anatomy,Wiley,2013,136,NA,NA,99550
Journal of Anatomy,Wiley,2014,117,NA,NA,102177
Journal of Anatomy,Wiley,2018,67,http://creativecommons.org/licenses/by-nc-nd/4.0,1,49018
Journal of Anatomy,Wiley,2018,67,http://creativecommons.org/licenses/by-nc/4.0,3,49018
Journal of Anatomy,Wiley,2018,67,http://creativecommons.org/licenses/by/4.0,6,49018
Molecular Psychiatry,Springer Nature,2017,286,http://creativecommons.org/licenses/by-nc-nd/4.0,1,175964
Molecular Psychiatry,Springer Nature,2017,286,http://creativecommons.org/licenses/by/4.0,1,175964
Molecular Psychiatry,Springer Nature,2016,267,http://creativecommons.org/licenses/by-nc-nd/4.0,9,173019
Molecular Psychiatry,Springer Nature,2016,267,http://creativecommons.org/licenses/by-nc-sa/4.0,7,173019
Molecular Psychiatry,Springer Nature,2016,267,http://creativecommons.org/licenses/by/4.0,6,173019
Molecular Psychiatry,Springer Nature,2015,223,http://creativecommons.org/licenses/by-nc-nd/4.0,2,165397
Molecular Psychiatry,Springer Nature,2015,223,http://creativecommons.org/licenses/by/4.0,3,165397
Molecular Psychiatry,Springer Nature,2013,205,http://creativecommons.org/licenses/by-nc-sa/3.0,2,150563
Molecular Psychiatry,Springer Nature,2014,182,NA,NA,161462
Molecular Psychiatry,Springer Nature,2018,71,http://creativecommons.org/licenses/by/4.0,13,77031
Molecular Psychiatry,Springer Nature,2018,71,http://creativecommons.org/licenses/nd/4.0,3,77031
Molecular Psychiatry,Springer Nature,2018,71,http://creativecommons.org/licenses/sa/4.0,2,77031
Cytometry Part A,Wiley,2017,234,http://creativecommons.org/licenses/by-nc-nd/4.0,3,110730
Cytometry Part A,Wiley,2017,234,http://creativecommons.org/licenses/by-nc/4.0,3,110730
Cytometry Part A,Wiley,2017,234,http://creativecommons.org/licenses/by/4.0,1,110730
Cytometry Part A,Wiley,2016,205,http://creativecommons.org/licenses/by-nc/4.0,1,108415
Cytometry Part A,Wiley,2013,186,NA,NA,99550
Cytometry Part A,Wiley,2015,185,http://creativecommons.org/licenses/by-nc/3.0,1,104299
Cytometry Part A,Wiley,2015,185,http://creativecommons.org/licenses/by-nc/4.0,1,104299
Cytometry Part A,Wiley,2014,178,NA,NA,102177
Cytometry Part A,Wiley,2018,74,http://creativecommons.org/licenses/by-nc-nd/4.0,1,49018
Cytometry Part A,Wiley,2018,74,http://creativecommons.org/licenses/by/4.0,2,49018
Clinical Cardiology,Wiley,2017,191,http://creativecommons.org/licenses/by-nc-nd/4.0,4,110730
Clinical Cardiology,Wiley,2017,191,http://creativecommons.org/licenses/by-nc/4.0,1,110730
Clinical Cardiology,Wiley,2018,146,http://creativecommons.org/licenses/by-nc-nd/4.0,1,49018
Clinical Cardiology,Wiley,2018,146,http://creativecommons.org/licenses/by-nc/4.0,2,49018
Clinical Cardiology,Wiley,2013,142,NA,NA,99550
Clinical Cardiology,Wiley,2016,139,http://creativecommons.org/licenses/by-nc-nd/4.0,1,108415
Clinical Cardiology,Wiley,2015,135,NA,NA,104299
Clinical Cardiology,Wiley,2014,117,NA,NA,102177
Journal of Affective Disorders,Elsevier BV,2016,786,http://creativecommons.org/licenses/by-nc-nd/4.0,25,375061
Journal of Affective Disorders,Elsevier BV,2016,786,http://creativecommons.org/licenses/by/4.0,13,375061
Journal of Affective Disorders,Elsevier BV,2015,762,http://creativecommons.org/licenses/by-nc-nd/3.0,6,357226
Journal of Affective Disorders,Elsevier BV,2015,762,http://creativecommons.org/licenses/by-nc-nd/4.0,17,357226
Journal of Affective Disorders,Elsevier BV,2015,762,http://creativecommons.org/licenses/by-nc-sa/3.0,2,357226
Journal of Affective Disorders,Elsevier BV,2015,762,http://creativecommons.org/licenses/by/3.0,6,357226
Journal of Affective Disorders,Elsevier BV,2015,762,http://creativecommons.org/licenses/by/4.0,14,357226
Journal of Affective Disorders,Elsevier BV,2013,725,http://creativecommons.org/licenses/by-nc-nd/3.0,2,332602
Journal of Affective Disorders,Elsevier BV,2013,725,http://creativecommons.org/licenses/by-nc-sa/3.0,3,332602
Journal of Affective Disorders,Elsevier BV,2013,725,http://creativecommons.org/licenses/by/3.0,3,332602
Journal of Affective Disorders,Elsevier BV,2018,706,http://creativecommons.org/licenses/by-nc-nd/4.0,18,247544
Journal of Affective Disorders,Elsevier BV,2018,706,http://creativecommons.org/licenses/by/4.0,10,247544
Journal of Affective Disorders,Elsevier BV,2017,683,http://creativecommons.org/licenses/by-nc-nd/4.0,22,390927
Journal of Affective Disorders,Elsevier BV,2017,683,http://creativecommons.org/licenses/by/4.0,15,390927
Journal of Affective Disorders,Elsevier BV,2014,594,http://creativecommons.org/licenses/by-nc-nd/3.0,9,343804
Journal of Affective Disorders,Elsevier BV,2014,594,http://creativecommons.org/licenses/by-nc-sa/3.0,2,343804
Journal of Affective Disorders,Elsevier BV,2014,594,http://creativecommons.org/licenses/by/3.0,11,343804
Seminars in Fetal and Neonatal Medicine,Elsevier BV,2015,84,NA,NA,357226
Seminars in Fetal and Neonatal Medicine,Elsevier BV,2017,77,NA,NA,390927
Seminars in Fetal and Neonatal Medicine,Elsevier BV,2013,75,http://creativecommons.org/licenses/by-nc-nd/3.0,1,332602
Seminars in Fetal and Neonatal Medicine,Elsevier BV,2016,68,NA,NA,375061
Seminars in Fetal and Neonatal Medicine,Elsevier BV,2014,67,NA,NA,343804
Seminars in Fetal and Neonatal Medicine,Elsevier BV,2018,51,NA,NA,247544
European Urology,Elsevier BV,2016,613,http://creativecommons.org/licenses/by-nc-nd/4.0,19,375061
European Urology,Elsevier BV,2016,613,http://creativecommons.org/licenses/by/4.0,5,375061
European Urology,Elsevier BV,2014,600,http://creativecommons.org/licenses/by-nc-nd/3.0,1,343804
European Urology,Elsevier BV,2014,600,http://creativecommons.org/licenses/by-nc-nd/4.0,5,343804
European Urology,Elsevier BV,2014,600,http://creativecommons.org/licenses/by/3.0,3,343804
European Urology,Elsevier BV,2014,600,http://creativecommons.org/licenses/by/4.0,2,343804
European Urology,Elsevier BV,2017,596,http://creativecommons.org/licenses/by-nc-nd/4.0,17,390927
European Urology,Elsevier BV,2015,588,http://creativecommons.org/licenses/by-nc-nd/3.0,4,357226
European Urology,Elsevier BV,2015,588,http://creativecommons.org/licenses/by-nc-nd/4.0,11,357226
European Urology,Elsevier BV,2015,588,http://creativecommons.org/licenses/by/3.0,2,357226
European Urology,Elsevier BV,2015,588,http://creativecommons.org/licenses/by/4.0,3,357226
European Urology,Elsevier BV,2013,542,http://creativecommons.org/licenses/by/4.0,1,332602
European Urology,Elsevier BV,2018,365,http://creativecommons.org/licenses/by-nc-nd/4.0,7,247544
European Urology,Elsevier BV,2018,365,http://creativecommons.org/licenses/by/4.0,2,247544
The Indian Journal of Pediatrics,Springer Nature,2013,364,NA,NA,150563
The Indian Journal of Pediatrics,Springer Nature,2014,346,NA,NA,161462
The Indian Journal of Pediatrics,Springer Nature,2016,311,NA,NA,173019
The Indian Journal of Pediatrics,Springer Nature,2015,310,NA,NA,165397
The Indian Journal of Pediatrics,Springer Nature,2017,280,NA,NA,175964
The Indian Journal of Pediatrics,Springer Nature,2018,146,http://creativecommons.org/licenses/by/4.0,1,77031
Journal of Biomechanics,Elsevier BV,2016,603,http://creativecommons.org/licenses/by-nc-nd/4.0,9,375061
Journal of Biomechanics,Elsevier BV,2016,603,http://creativecommons.org/licenses/by/4.0,19,375061
Journal of Biomechanics,Elsevier BV,2014,576,http://creativecommons.org/licenses/by-nc-nd/3.0,2,343804
Journal of Biomechanics,Elsevier BV,2014,576,http://creativecommons.org/licenses/by-nc-sa/3.0,3,343804
Journal of Biomechanics,Elsevier BV,2014,576,http://creativecommons.org/licenses/by/3.0,9,343804
Journal of Biomechanics,Elsevier BV,2015,551,http://creativecommons.org/licenses/by-nc-nd/3.0,1,357226
Journal of Biomechanics,Elsevier BV,2015,551,http://creativecommons.org/licenses/by-nc-nd/4.0,5,357226
Journal of Biomechanics,Elsevier BV,2015,551,http://creativecommons.org/licenses/by/3.0,2,357226
Journal of Biomechanics,Elsevier BV,2015,551,http://creativecommons.org/licenses/by/4.0,11,357226
Journal of Biomechanics,Elsevier BV,2017,451,http://creativecommons.org/licenses/by-nc-nd/4.0,5,390927
Journal of Biomechanics,Elsevier BV,2017,451,http://creativecommons.org/licenses/by/4.0,11,390927
Journal of Biomechanics,Elsevier BV,2013,442,http://creativecommons.org/licenses/by-nc-nd/3.0,1,332602
Journal of Biomechanics,Elsevier BV,2013,442,http://creativecommons.org/licenses/by-nc-sa/3.0,1,332602
Journal of Biomechanics,Elsevier BV,2018,320,http://creativecommons.org/licenses/by-nc-nd/4.0,4,247544
Journal of Biomechanics,Elsevier BV,2018,320,http://creativecommons.org/licenses/by/4.0,6,247544
Molecular Oncology,Wiley,2014,188,http://creativecommons.org/licenses/by-nc-nd/3.0,3,102177
Molecular Oncology,Wiley,2014,188,http://creativecommons.org/licenses/by-nc-nd/4.0,5,102177
Molecular Oncology,Wiley,2014,188,http://creativecommons.org/licenses/by/3.0,3,102177
Molecular Oncology,Wiley,2015,148,http://creativecommons.org/licenses/by-nc-nd/4.0,11,104299
Molecular Oncology,Wiley,2015,148,http://creativecommons.org/licenses/by/4.0,5,104299
Molecular Oncology,Wiley,2017,139,NA,NA,110730
Molecular Oncology,Wiley,2013,112,http://creativecommons.org/licenses/by-nc-nd/4.0,1,99550
Molecular Oncology,Wiley,2016,94,http://creativecommons.org/licenses/by-nc-nd/4.0,3,108415
Molecular Oncology,Wiley,2016,94,http://creativecommons.org/licenses/by/4.0,6,108415
Molecular Oncology,Wiley,2018,73,NA,NA,49018
JACC: Cardiovascular Imaging,Elsevier BV,2017,344,http://creativecommons.org/licenses/by-nc-nd/4.0,7,390927
JACC: Cardiovascular Imaging,Elsevier BV,2017,344,http://creativecommons.org/licenses/by/4.0,7,390927
JACC: Cardiovascular Imaging,Elsevier BV,2016,283,http://creativecommons.org/licenses/by-nc-nd/4.0,1,375061
JACC: Cardiovascular Imaging,Elsevier BV,2016,283,http://creativecommons.org/licenses/by/4.0,3,375061
JACC: Cardiovascular Imaging,Elsevier BV,2015,257,http://creativecommons.org/licenses/by-nc-nd/4.0,4,357226
JACC: Cardiovascular Imaging,Elsevier BV,2015,257,http://creativecommons.org/licenses/by/4.0,2,357226
JACC: Cardiovascular Imaging,Elsevier BV,2014,249,http://creativecommons.org/licenses/by-nc-nd/4.0,3,343804
JACC: Cardiovascular Imaging,Elsevier BV,2014,249,http://creativecommons.org/licenses/by/4.0,1,343804
JACC: Cardiovascular Imaging,Elsevier BV,2018,247,http://creativecommons.org/licenses/by-nc-nd/4.0,5,247544
JACC: Cardiovascular Imaging,Elsevier BV,2018,247,http://creativecommons.org/licenses/by/4.0,6,247544
JACC: Cardiovascular Imaging,Elsevier BV,2013,218,http://creativecommons.org/licenses/by-nc-nd/4.0,1,332602
Trends in Endocrinology & Metabolism,Elsevier BV,2015,110,http://creativecommons.org/licenses/by/4.0,1,357226
Trends in Endocrinology & Metabolism,Elsevier BV,2016,107,http://creativecommons.org/licenses/by/4.0,1,375061
Trends in Endocrinology & Metabolism,Elsevier BV,2014,94,http://creativecommons.org/licenses/by/3.0,1,343804
Trends in Endocrinology & Metabolism,Elsevier BV,2017,87,NA,NA,390927
Trends in Endocrinology & Metabolism,Elsevier BV,2013,86,NA,NA,332602
Trends in Endocrinology & Metabolism,Elsevier BV,2018,77,http://creativecommons.org/licenses/by-nc-nd/4.0,2,247544
Small,Wiley,2017,1011,http://creativecommons.org/licenses/by-nc-nd/4.0,3,110730
Small,Wiley,2017,1011,http://creativecommons.org/licenses/by-nc/4.0,2,110730
Small,Wiley,2017,1011,http://creativecommons.org/licenses/by/4.0,3,110730
Small,Wiley,2016,960,http://creativecommons.org/licenses/by-nc-nd/4.0,2,108415
Small,Wiley,2016,960,http://creativecommons.org/licenses/by-nc/4.0,1,108415
Small,Wiley,2016,960,http://creativecommons.org/licenses/by/4.0,2,108415
Small,Wiley,2015,877,NA,NA,104299
Small,Wiley,2014,781,http://creativecommons.org/licenses/by/4.0,1,102177
Small,Wiley,2013,656,NA,NA,99550
Small,Wiley,2018,516,http://creativecommons.org/licenses/by-nc-nd/4.0,1,49018
Small,Wiley,2018,516,http://creativecommons.org/licenses/by-nc/4.0,2,49018
Small,Wiley,2018,516,http://creativecommons.org/licenses/by/4.0,5,49018
Cancer Epidemiology,Elsevier BV,2016,207,http://creativecommons.org/licenses/by-nc-nd/3.0/igo,19,375061
Cancer Epidemiology,Elsevier BV,2016,207,http://creativecommons.org/licenses/by-nc-nd/4.0,8,375061
Cancer Epidemiology,Elsevier BV,2016,207,http://creativecommons.org/licenses/by/4.0,4,375061
Cancer Epidemiology,Elsevier BV,2015,198,http://creativecommons.org/licenses/by-nc-nd/3.0,4,357226
Cancer Epidemiology,Elsevier BV,2015,198,http://creativecommons.org/licenses/by-nc-nd/3.0/igo,16,357226
Cancer Epidemiology,Elsevier BV,2015,198,http://creativecommons.org/licenses/by-nc-nd/4.0,6,357226
Cancer Epidemiology,Elsevier BV,2015,198,http://creativecommons.org/licenses/by/3.0/igo,1,357226
Cancer Epidemiology,Elsevier BV,2015,198,http://creativecommons.org/licenses/by/4.0,3,357226
Cancer Epidemiology,Elsevier BV,2013,176,NA,NA,332602
Cancer Epidemiology,Elsevier BV,2017,161,http://creativecommons.org/licenses/by-nc-nd/4.0,6,390927
Cancer Epidemiology,Elsevier BV,2017,161,http://creativecommons.org/licenses/by/4.0,1,390927
Cancer Epidemiology,Elsevier BV,2014,132,http://creativecommons.org/licenses/by-nc-nd/3.0,2,343804
Cancer Epidemiology,Elsevier BV,2018,90,http://creativecommons.org/licenses/by-nc-nd/3.0/igo,1,247544
Cancer Epidemiology,Elsevier BV,2018,90,http://creativecommons.org/licenses/by-nc-nd/4.0,5,247544
Cancer Epidemiology,Elsevier BV,2018,90,http://creativecommons.org/licenses/by/4.0,3,247544
Immunology and Cell Biology,Wiley,2015,127,http://creativecommons.org/licenses/by-nc-nd/3.0,2,104299
Immunology and Cell Biology,Wiley,2015,127,http://creativecommons.org/licenses/by-nc-sa/3.0,5,104299
Immunology and Cell Biology,Wiley,2015,127,http://creativecommons.org/licenses/by/3.0,4,104299
Immunology and Cell Biology,Wiley,2016,125,http://creativecommons.org/licenses/by-nc-nd/3.0,5,108415
Immunology and Cell Biology,Wiley,2016,125,http://creativecommons.org/licenses/by-nc-sa/3.0,4,108415
Immunology and Cell Biology,Wiley,2016,125,http://creativecommons.org/licenses/by/3.0,9,108415
Immunology and Cell Biology,Wiley,2014,123,http://creativecommons.org/licenses/by-nc-nd/3.0,3,102177
Immunology and Cell Biology,Wiley,2014,123,http://creativecommons.org/licenses/by-nc-sa/3.0,5,102177
Immunology and Cell Biology,Wiley,2014,123,http://creativecommons.org/licenses/by/3.0,4,102177
Immunology and Cell Biology,Wiley,2017,110,http://creativecommons.org/licenses/by-nc-nd/4.0,3,110730
Immunology and Cell Biology,Wiley,2017,110,http://creativecommons.org/licenses/by-nc-sa/3.0,1,110730
